"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/04/2024","93,50","94,00","0,75","92,97","95,70","36,01M"
"29/04/2024","93,40","93,30","-0,11","90,90","93,64","45,24M"
"26/04/2024","89,90","93,40","3,81","89,00","94,12","63,39M"
"25/04/2024","84,50","89,97","5,83","83,85","89,97","64,77M"
"24/04/2024","89,82","85,01","-3,85","85,00","90,24","69,79M"
"23/04/2024","86,98","88,41","3,65","86,68","88,71","45,03M"
"22/04/2024","83,73","85,30","3,81","82,61","86,35","85,64M"
"19/04/2024","92,73","82,17","-11,23","81,99","92,73","104,11M"
"18/04/2024","92,85","92,56","0,83","90,06","94,45","41,63M"
"17/04/2024","96,45","91,80","-4,37","91,65","96,95","49,80M"
"16/04/2024","94,24","95,99","3,68","94,24","96,43","36,37M"
"15/04/2024","95,37","92,58","-1,64","92,58","97,79","51,26M"
"12/04/2024","95,91","94,12","-2,05","93,60","96,30","36,81M"
"11/04/2024","92,50","96,09","4,23","92,04","96,13","51,63M"
"10/04/2024","88,10","92,19","3,82","87,90","92,33","64,12M"
"09/04/2024","91,15","88,80","-2,62","86,79","91,39","74,22M"
"08/04/2024","93,40","91,19","-1,85","91,01","93,79","36,60M"
"05/04/2024","91,36","92,91","2,38","90,50","93,36","44,23M"
"04/04/2024","94,90","90,75","-2,86","90,63","95,06","81,75M"
"03/04/2024","93,79","93,42","-1,02","93,38","95,73","24,56M"
"02/04/2024","93,72","94,38","-0,65","92,17","94,96","66,39M"
"01/04/2024","94,84","95,00","0,17","94,29","96,92","30,51M"
"28/03/2024","93,57","94,84","0,90","92,95","94,85","31,29M"
"27/03/2024","96,60","93,99","-2,14","92,59","97,07","51,13M"
"26/03/2024","99,50","96,05","-2,51","96,05","100,08","71,87M"
"25/03/2024","98,01","98,52","0,53","97,09","100,34","41,86M"
"22/03/2024","94,94","98,00","3,67","94,58","98,70","42,88M"
"21/03/2024","95,50","94,53","0,57","93,94","96,05","46,68M"
"20/03/2024","93,33","93,99","0,91","92,00","94,40","39,41M"
"19/03/2024","90,99","93,14","-0,16","89,39","94,45","62,65M"
"18/03/2024","93,76","93,29","2,08","91,24","96,30","51,88M"
"15/03/2024","91,25","91,39","0,15","90,00","93,17","100,07M"
"14/03/2024","92,78","91,25","-3,35","90,00","94,01","168,96M"
